operation,input_size,comparisons,swaps,array_accesses,memory_allocations
build_heap,100,174,69,569,400
sequential_insert,100,197,101,898,400
extract_all,100,846,509,3290,0
build_heap,1000,1878,746,6108,4000
sequential_insert,1000,2177,1182,10082,4000
extract_all,1000,14979,8342,55688,0
build_heap,10000,18839,7426,60969,40000
sequential_insert,10000,22922,12928,107556,40000
extract_all,10000,216623,116771,790477,0
build_heap,100000,188120,74470,610470,400000
sequential_insert,100000,227700,127706,1066224,400000
extract_all,100000,2831385,1500426,10233514,0
